TUBERCULOSE - Casos confirmados notificados no Sistema de Informação de Agravos de Notificação - São Paulo
Casos confirmados por Município de notificação e Ano Notificação
Fx Etária: 40-59
Período:2023-2024
"Município de notificação";"2023";"2024";"2025";"Total"
"350010 ADAMANTINA";3;-;-;3
"350020 ADOLFO";-;3;-;3
"350030 AGUAI";5;8;-;13
"350040 AGUAS DA PRATA";-;1;-;1
"350050 AGUAS DE LINDOIA";-;1;-;1
"350055 AGUAS DE SANTA BARBARA";-;1;-;1
"350070 AGUDOS";2;8;-;10
"350075 ALAMBARI";-;3;-;3
"350080 ALFREDO MARCONDES";-;1;-;1
"350090 ALTAIR";-;1;-;1
"350100 ALTINOPOLIS";3;1;-;4
"350110 ALTO ALEGRE";7;2;-;9
"350115 ALUMINIO";2;1;-;3
"350130 ALVARES MACHADO";4;2;-;6
"350140 ALVARO DE CARVALHO";7;6;-;13
"350160 AMERICANA";14;13;-;27
"350170 AMERICO BRASILIENSE";3;2;-;5
"350190 AMPARO";10;7;-;17
"350200 ANALANDIA";-;1;-;1
"350210 ANDRADINA";9;11;-;20
"350220 ANGATUBA";3;6;-;9
"350230 ANHEMBI";-;1;-;1
"350250 APARECIDA";5;10;-;15
"350260 APARECIDA D'OESTE";1;-;-;1
"350270 APIAI";2;1;-;3
"350275 ARACARIGUAMA";6;6;-;12
"350280 ARACATUBA";28;27;1;56
"350290 ARACOIABA DA SERRA";6;3;-;9
"350315 ARAPEI";1;-;-;1
"350320 ARARAQUARA";21;27;-;48
"350330 ARARAS";23;19;-;42
"350340 AREALVA";1;-;-;1
"350380 ARTUR NOGUEIRA";7;7;-;14
"350390 ARUJA";16;7;-;23
"350400 ASSIS";10;14;-;24
"350410 ATIBAIA";18;17;-;35
"350440 AVANHANDAVA";-;1;-;1
"350450 AVARE";11;8;-;19
"350460 BADY BASSITT";1;2;-;3
"350470 BALBINOS";7;9;1;17
"350490 BANANAL";2;1;-;3
"350500 BARAO DE ANTONINA";1;-;-;1
"350520 BARIRI";-;9;-;9
"350530 BARRA BONITA";1;3;-;4
"350550 BARRETOS";26;33;1;60
"350560 BARRINHA";-;3;1;4
"350570 BARUERI";36;48;1;85
"350580 BASTOS";3;2;-;5
"350590 BATATAIS";2;5;1;8
"350600 BAURU";63;82;4;149
"350610 BEBEDOURO";7;1;2;10
"350620 BENTO DE ABREU";-;1;-;1
"350630 BERNARDINO DE CAMPOS";3;3;-;6
"350635 BERTIOGA";36;43;1;80
"350650 BIRIGUI";10;10;2;22
"350660 BIRITIBA-MIRIM";3;5;-;8
"350670 BOA ESPERANCA DO SUL";1;2;-;3
"350680 BOCAINA";-;3;-;3
"350690 BOFETE";2;1;-;3
"350700 BOITUVA";6;6;-;12
"350710 BOM JESUS DOS PERDOES";2;2;-;4
"350750 BOTUCATU";10;18;-;28
"350760 BRAGANCA PAULISTA";14;19;-;33
"350770 BRAUNA";1;-;-;1
"350780 BRODOWSKI";2;1;-;3
"350790 BROTAS";1;-;-;1
"350800 BURI";2;1;-;3
"350810 BURITAMA";1;4;-;5
"350820 BURITIZAL";-;1;-;1
"350830 CABRALIA PAULISTA";-;1;-;1
"350840 CABREUVA";7;5;-;12
"350850 CACAPAVA";9;12;-;21
"350860 CACHOEIRA PAULISTA";3;4;-;7
"350870 CACONDE";1;-;-;1
"350880 CAFELANDIA";1;-;-;1
"350900 CAIEIRAS";13;15;-;28
"350910 CAIUA";5;2;-;7
"350920 CAJAMAR";4;13;-;17
"350925 CAJATI";7;4;-;11
"350930 CAJOBI";2;-;-;2
"350940 CAJURU";2;1;-;3
"350945 CAMPINA DO MONTE ALEGRE";1;-;-;1
"350950 CAMPINAS";148;166;15;329
"350960 CAMPO LIMPO PAULISTA";8;16;-;24
"350970 CAMPOS DO JORDAO";2;6;-;8
"350980 CAMPOS NOVOS PAULISTA";1;-;-;1
"350990 CANANEIA";5;1;-;6
"351000 CANDIDO MOTA";3;3;-;6
"351020 CAPAO BONITO";3;7;1;11
"351030 CAPELA DO ALTO";5;5;-;10
"351040 CAPIVARI";7;5;1;13
"351050 CARAGUATATUBA";45;59;-;104
"351060 CARAPICUIBA";88;109;5;202
"351070 CARDOSO";2;2;-;4
"351080 CASA BRANCA";6;5;-;11
"351100 CASTILHO";2;3;-;5
"351110 CATANDUVA";10;11;2;23
"351130 CEDRAL";2;2;-;4
"351140 CERQUEIRA CESAR";6;5;1;12
"351150 CERQUILHO";3;5;-;8
"351160 CESARIO LANGE";2;2;-;4
"351200 COLINA";2;3;-;5
"351210 COLOMBIA";5;-;-;5
"351220 CONCHAL";2;8;-;10
"351230 CONCHAS";4;2;-;6
"351240 CORDEIROPOLIS";3;5;-;8
"351250 COROADOS";-;2;-;2
"351280 COSMOPOLIS";9;8;-;17
"351300 COTIA";42;54;1;97
"351310 CRAVINHOS";2;1;-;3
"351330 CRUZALIA";1;1;-;2
"351340 CRUZEIRO";17;12;-;29
"351350 CUBATAO";40;58;1;99
"351360 CUNHA";2;3;-;5
"351370 DESCALVADO";1;3;-;4
"351380 DIADEMA";86;85;1;172
"351385 DIRCE REIS";-;1;-;1
"351400 DOBRADA";-;1;-;1
"351430 DOURADO";-;1;-;1
"351440 DRACENA";12;8;2;22
"351450 DUARTINA";2;1;-;3
"351460 DUMONT";1;2;-;3
"351470 ECHAPORA";1;1;-;2
"351480 ELDORADO";3;4;-;7
"351490 ELIAS FAUSTO";1;2;-;3
"351492 ELISIARIO";1;-;-;1
"351500 EMBU DAS ARTES";44;64;5;113
"351510 EMBU-GUACU";15;9;-;24
"351512 EMILIANOPOLIS";1;-;-;1
"351515 ENGENHEIRO COELHO";1;3;-;4
"351518 ESPIRITO SANTO DO PINHAL";9;3;1;13
"351519 ESPIRITO SANTO DO TURVO";1;-;-;1
"351530 ESTRELA DO NORTE";1;-;-;1
"351540 FARTURA";-;1;-;1
"351550 FERNANDOPOLIS";7;8;-;15
